event_id,event_date,event_time_et,effective_trading_date,event_description,direction,channel,source_url,surprise_reason,market_session,confounding_news,include_high,review_status,notes
N20260414,2026-04-14,,2026-04-14,"Oil: WTI, Brent as markets weigh Hormuz blockade against diplomacy | U.S. Hormuz blockade hits India just as Russian oil purchase waiver expires, deepening energy worries | CNBC Daily Open: Markets bet on a U.S.-Iran deal amid Hormuz blockade | European markets: Stoxx 600, FTSE, DAX, Iran latest, oil prices | Asia's stock markets surge, oil falls on hopes for US-Iran talks | Financial Markets News | BP flags 'exceptional' oil trading performance as Iran war chokes supply | US blockade of Iran ports threatens already crippled oil supply | Hormuz mission talks to focus on sanctions, seafarer releases, shipping readiness &#x2013; source",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260415,2026-04-15,,2026-04-15,"Stocks keep the rally going and oil tumbles. Here's why we have some trepidation | Jim Cramer says the market rally shows why you can't bail on stocks | Markets bet on U.S.-Iran deal despite Hormuz Strait blockade | Oil prices: Possible U.S.-Iran talks revive hopes of easing Hormuz tensions | European markets: Stox 600, FTSE, DAX, CAC, Iran latest, oil prices | Wells Fargo: Take profits on energy despite higher oil forecasts | Rogoff Calls Dollar 20% Overvalued, Warns Markets 'Naive' on War | Trump calls for UK North Sea oil drilling, ramps up energy criticism",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260416,2026-04-16,,2026-04-16,"Australia, Malaysia pledge to strengthen energy supply chain resilience in wake of Iran war | European markets: Stoxx 600, FTSE, DAX, CAC, oil prices, Iran latest | Fire breaks out at crucial Australian refinery, raising fuel supply fears | Europe has only six weeks' supply of jet fuel left owing to Iran war, says energy chief | Airline industry | Our 4 best and worst performing stocks since the Iran war market bottom | Shipping Disruptions from Hormuz Crisis | Another sign of market strength pops up as stocks recover Iran war losses | Here's the latest tanker traffic in Strait of Hormuz",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260420,2026-04-20,,2026-04-20,"European stock markets fall and oil and gas prices jump as strait of Hormuz 'chaos' worries investors &#x2013; business live | Business | Shipping firms seek clarifications before crossing Hormuz | Cheaper petrol prices could take a week to reach Australia after strait of Hormuz opening eases global oil chokehold | UK's Cooper urges full resumption of shipping through Hormuz Strait - AL-MONITOR: The Middle East&#x2BC;s leading independent news source since 2012 | As oil prices plunge below $91 after weeks, a new Hormuz crisis emerges | Oil prices rise after Iran restricts access to Strait of Hormuz and ceasefire nears expiration | Oil surges after Iran and U.S. attack ships as tensions escalate over Hormuz | European markets: Stoxx 600, FTSE, DAX, CAC, oil, Iran latest news",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260421,2026-04-21,,2026-04-21,"Citi sees 1.3 billion hit to oil stocks if Hormuz disruption persists | China's energy fortress was built to withstand just this type of oil shock | Latest Oil Market News and Analysis for April 21 | Treasury yields little changed as markets await Iran peace talks | Shipping traffic through Hormuz still largely halted | Stocks slip, oil climbs as US-Iran truce expiry looms | HSBC is 'max bullish' stocks, saying Iran conflict is not a game changer | Alaska Air pulls 2026 profit forecast amid fuel costs related uncertainty",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260422,2026-04-22,,2026-04-22,"Oil price: WTI, Brent,  Iran ceasefire extension clouds outlook | European markets: Stoxx 600, FTSE, DAX, Iran latest news, oil price | Russia says will halt oil flow to Germany via Druzhba pipeline | US Treasury chief defends pivot to extend Russia oil sanctions relief | How Warsh can give Trump rate cuts, keep Fed independent, and make the market happy | These stocks may rip if the Iran conflict is resolved, UBS says | Trump extends ceasefire in Iran, citing 'seriously fractured' Iranian government | &#x30EC;&#x30D0;&#x30CE;&#x30F3;&#x653F;&#x5E9C;&#x300C;&#x30D2;&#x30BA;&#x30DC;&#x30E9;&#x306E;&#x5A01;&#x5727;&#x306B;&#x5C48;&#x305B;&#x305A;&#x300D;&#x3001;&#x5BFE;&#x7ACB;&#x3082;&#x671B;&#x307E;&#x305A;&#xFF1D;&#x9996;&#x76F8;",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260423,2026-04-23,,2026-04-23,"Stocks sink and oil rises with Iran, US no closer to peace talks | UK government borrowing narrowly undershoots forecasts; oil rising over $100 amid strait of Hormuz deadlock &#x2013; business live | 'Tehran tollbooth': what is Iran demanding and what would it mean for oil prices? | Strait of Hormuz | The Strait of Hormuz: Alternative routes for oil exporters | Oil prices jump, stocks retreat as US-Iran peace talks stall | US says forces boarded tanker carrying Iranian oil | Iran fast-boat swarms add to Hormuz threats for shipping | Brent oil tops $105 on report Iran's top negotiator resigned",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260424,2026-04-24,,2026-04-24,"Oil price: WTI, Brent after Israel-Lebanon ceasefire extension | Japan core inflation accelerates after five months as Iran war stokes energy worries | Oil rises above $106 per barrel as US, Iran deadlocked in Strait of Hormuz | Lebanan, Iran ceasfire; oil prices; markets; EU meeting; DeepSeek's V4 | Iran-Iraq Tanker War redux? Why the Strait of Hormuz crisis is different | &#x30A4;&#x30E9;&#x30F3;&#x3092;&#x7121;&#x529B;&#x5316;&#x3068;&#x306E;&#x7C73;&#x4E3B;&#x5F35;&#x306B;&#x7591;&#x554F;&#x3001;&#x5546;&#x8239;&#x62FF;&#x6355;&#x306B;&#x9AD8;&#x901F;&#x8247;&#x306E;&#x300C;&#x7FA4;&#x308C;&#x300D; | Trump says Israel-Lebanon ceasefire extended by three weeks | Trump: Americans should expect higher gas prices for 'a little while'",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260427,2026-04-27,,2026-04-27,"California's jet fuel supply drops to three-year low as Middle East turmoil squeezes global oil market | California | US sanctions China's 'teapot' refinery for buying Iranian oil | US-Israel war on Iran News | The great energy pivot: US oil and Chinese solar are the winners in Trump's war on Iran | Energy industry | Ukraine Attacks Russia Fertilizer Plant and Oil Refinery | Brent oil tops $107 per barrel after Iran peace talks stall | Oil prices increase after Iran doubles down on Strait of Hormuz closure, accuses US of undermining trust | Energy crisis boosts nuclear power: How to invest in uranium, top stocks | Shipping traffic through Hormuz remains muted with no US-Iran deal in sight, data shows",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260428,2026-04-28,,2026-04-28,"BP profits double after 'exceptional' oil trading during Iran war; Brent crude hits three-week high &#x2013; business live | Business | Gold is winning out against the dollar as nations manage global strife | Oil edges higher as traders weigh Iran's Hormuz offer and Trump's next move | Oil prices rise despite Iran's proposal to reopen Strait of Hormuz | Oil and Gas News | Crude extends gains, stocks drop as Trump considers latest Iran proposal | When will Strait of Hormuz be 'safe' for commercial shipping again? | Explainer | &#xFF2E;&#xFF39;&#x5916;&#x70BA;&#x5E02;&#x5834;&#xFF1D;&#x30C9;&#x30EB;&#x5C0F;&#x5E45;&#x5B89;&#x3001;&#x9000;&#x4EFB;&#x9593;&#x969B;&#x306E;&#x30D1;&#x30A6;&#x30A8;&#x30EB;&#x8B70;&#x9577;&#x306E;&#xFF26;&#xFF2F;&#xFF2D;&#xFF23;&#x767A;&#x8A00;&#x306B;&#x6CE8;&#x76EE; | &#x7C73;&#x3001;&#x30A4;&#x30E9;&#x30F3;&#x65B0;&#x63D0;&#x6848;&#x3092;&#x5354;&#x8B70;&#x3000;&#x30C8;&#x30E9;&#x30F3;&#x30D7;&#x6C0F;&#x306E;&#x300C;&#x8981;&#x6C42;&#x306F;&#x4E0D;&#x5909;&#x300D;&#xFF1D;&#x5831;&#x9053;&#x5B98;",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260429,2026-04-29,,2026-04-29,These bonds protect against inflation. How to optimize them for your portfolio | Trump administration blocks US wind energy projects in switch to oil and gas | Visualizing shipping through the Strait of Hormuz since war began | UAE quits OPEC in blow to cartel that could reshape global oil markets | US gas prices hit $4.23 high as Hormuz fears drive oil surge | Hormuz shipping traffic remains at a trickle as US-Iran deadlock deepens | Defense stocks have floundered since the Iran war began. Here's why | UAE exit from OPEC is a big blow to the cartel's influence on oil,mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260430,2026-04-30,,2026-04-30,"Brent crude oil prices surge above $125, highest level since 2022 | Oil & gas hedges, commodity bull market, Siemens Energy | UAE quits OPEC: What that means for the Gulf, energy markets and beyond | Shocking UAE exit rocks OPEC, but group will still hold significant sway over the oil market | Oil extends gains with Brent at $120 as fears of an extended U.S.-Iran conflict rise | Oil prices soar on fears of long supply disruption, US siege of Iran ports | Treasury yields flat as Fed leaves rates unchanged; oil touches $126 | Eurozone inflation soars to 3% as Iran war drives up energy prices",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260501,2026-05-01,,2026-05-01,"Treasury yields flat as investors digest  GDP and inflation data | Oil steady after wild swing, stocks diverge in thin trading | Stocks closed April at records. But bonds are signaling a warning | US Treasury warns shippers not to pay Hormuz tolls, even in form of charity | Exxon expects higher oil prices as market absorbs impact of Iran war | S&P 500 heads for its best month since 2020 &#x2014; plus, Apple earnings on deck | Inside the Fed: Powell and Warsh set to clash | &#x7C73;&#x8ECD;&#x306E;&#x6E2F;&#x6E7E;&#x5C01;&#x9396;&#x3067;&#x30A4;&#x30E9;&#x30F3;&#x539F;&#x6CB9;&#x8F38;&#x51FA;&#x6025;&#x6E1B;&#x3001;&#x30BF;&#x30F3;&#x30AB;&#x30FC;&#x6EDE;&#x7559;&#x62E1;&#x5927;&#x3000;&#x5E02;&#x5834;&#x903C;&#x8FEB;",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260504,2026-05-04,,2026-05-04,Oil prices flat as Trump's plan for Strait of Hormuz fails to calm market | US-Israel war on Iran News | Strait of Hormuz: US threatens shipping firms with sanctions if they pay Iran tolls | OPEC+ set for another oil output quota hike despite Hormuz closure | Yemen reports hijacked oil tanker headed for Somalia | Trump may not be a fan of clean energy but Iran war is accelerating global shift from oil and gas | Heather Stewart | U.S. crude oil exports surge to record as tankers flock to Gulf Coast | OPEC+ announces symbolic oil output rise during Strait of Hormuz closure | Trump says US to help ships stranded in Strait of Hormuz as tanker hit by projectiles,mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260506,2026-05-06,,2026-05-06,"Even if an Iran deal calms energy markets, one oil stock can still stand out | Oil prices above $110 are starting to matter to the stock market again | CS Anthem chemical tanker becomes second US-flagged vessel to exit Strait of Hormuz | Oil prices: Trump pauses Strait of Hormuz escort effort | Oil prices ease as US seeks reopening of the Hormuz Strait | Oil prices retreat and global stocks hit record highs after Trump hails 'great progress' on Iran deal &#x2013; business live | Business | Oil prices ease and markets rally as Trump works towards deal with Iran | Out of the danger zone? Oil levels to watch before it's safe to keep buying stocks",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260507,2026-05-07,,2026-05-07,"Oil prices today: trump, iran, strait of hormuz, US, crude, brent | Oil: Shell tops profit estimates as Iran war drives crude price surge | Market rebound: Why some stocks are looking past the Iran war | This oil tanker stock has outperformed. Bank of America sees more gains | First Thing: Uncertainty looms as last oil tanker from Middle East arrives in California | US news | Barclays says it's the best buying opportunity in 20 years for these oil stocks | Shell CEO says oil market is short 1 billion barrels due to Iran war | Jet fuel shortage could disrupt summer travel in Asia and Europe",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260511,2026-05-11,,2026-05-11,"Iran war will change global energy market in these ways, oil execs say | Oil price today: Brent, WTI rise on Iran war worries | Aramco CEO says oil market will take months to normalize due to Hormuz | China's Energy Imports Drop Sharply as Hormuz Shipments Stall in April | Anwar to Unveil Malaysia Oil Supply Plan as Iran Conflict Disrupts Flows | Oil giant Saudi Aramco says quarterly profits up as crude prices surge | Tanker crosses Strait of Hormuz as U.S. awaits Iran response | China consumer, wholesale inflation tops estimates in April as Iran war drives energy costs higher",mixed,news_panel,,yes,close_to_close,passed,1,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260512,2026-05-12,,2026-05-12,"Oil prices today: Brent, WTI rise as Iran tensions escalate | Europe markets: Stoxx 600, FTSE, DAX, CAC, Iran news, oil prices | Global energy crisis highlights meagre oil buffers in developing world | S&P 500, Nasdaq Futures Drop With Inflation in Focus, Oil Surges on Geopolitics | US inflation jumps to 3.8% as energy costs surge from Iran war | Africa's richest man plans new Mombasa oil refinery: Why this matters | Business and Economy News | It's not just Iran and oil raising inflation. Prices also are reaccelerating in these other areas | US government's energy arm assumes Strait of Hormuz will stay shut through late May",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260514,2026-05-14,,2026-05-14,"War, inflation and Trump's tariffs have shaken the US. Why does the stock market keep going up? | Stock markets | Cuba has run out of diesel and fuel oil, energy minister says, as US blockade pushes island to brink | Mortgage rates jump to highest level since March | China Hosts Trump for First US State Visit in Nine Years Focused on Trade, Iran | Investors Will Have Plenty on the Line When Trump Meets Xi | Netanyahu Made Secret UAE Visit During Iran War, Israeli Government Says | Bank of Canada Signals Flexibility on Rates With Tariff, Oil Price Risks | At China Summit, Trump Has CEOs, But Xi Has Leverage",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260518,2026-05-18,,2026-05-18,"UAE to accelerate oil pipeline project to bypass Strait of Hormuz | Oil prices rise and bonds wobble as Iran war stokes inflation fears | The bond market is flashing a warning, energy geopolitics expert warns | Global oil stockpiles could hit record lows if Hormuz Strait stays closed | The American epoch of oil is collapsing. What comes next could be ugly | Energy | Bond market rout deepens as investors fear 'stagflationary shock' from higher oil prices &#x2013; business live | Business | US extends Russian oil sanctions waiver as Iran war squeezes supply | Hormuz tanker traffic edges higher after wartime low",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260519,2026-05-19,,2026-05-19,"US extends sanctions waiver on Russian oil as supply crunch pushes up Brent crude price | Oil prices fall after Trump delays planned Iran strike, easing supply disruption fears | Asian markets cautious, oil dips after Trump holds off on Iran attack | Treasury retreat eases, traders eye highest 30-year yield since 1999 | 'We're looking at shortages.' The Iran war has caused a motor oil supply crunch | Tech stocks retreat, oil dips after Trump holds off on Iran attack | 30-year US Treasury yield hits highest level in 19 years | Trump says he's postponing Iran attack at Middle East leaders' request",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260520,2026-05-20,,2026-05-20,"CNBC Daily Open: Stocks yield to bond market pressure | India Prepares to Send Oil Tankers Through Hormuz for New Supply | Asia-Pacific markets: Treasury yields, Nikkei 225, Kospi | Ukraine war briefing: Britain to buy diesel and jet fuel made from Russian crude oil | A market correction may be looming as equities face off against bonds | UK inflation slows to 2.8% as energy price cap softens impact of rising fuel costs | UK relaxes strict sanctions on Russian crude oil | U.S. Treasury yields inch lower amid 'significant' inflation risk",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260601,2026-06-01,,2026-06-01,"Oil exports through Hormuz might not return to levels before Iran war | France seizes Russia-linked oil tanker with ties to Iranian magnate | U.S. general meets Cuban military officials at edge of Guantanamo Bay | Trump-linked robotics startup tests humanoids in Ukraine, targets U.S. military use | Analysis: The Iran war has made inequality worse. An end won't fix it | 3 themes that drove stocks to another record week &#x2014; and a banner month | Iran War: Incompetent US Diplomats Are Not the Only Option for Global Peace | EU Weighs Temporary Freeze on Russia Oil Price Cap Over Iran War",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260608,2026-06-08,,2026-06-08,"Explainer-Why are the Houthis threatening to attack Red Sea shipping and what does it mean for oil markets? | Iran threats against Red Sea are a big vulnerability for oil market | As OPEC+ meets, Iran war hobbles power to shape oil market | OPEC+ set for fourth oil quota hike since Strait of Hormuz closure | Stock markets fall and oil jumps as Middle East conflict intensifies and AI boom falters &#x2013; business live | EV Sales Jump in March in Response to Soaring Gas Prices | Asia's 'Ukraine Moment' Is Supercharging the Energy Transition | LA, Boston Public Transit Ridership Rises Amid War-Fueled Gas Prices",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260612,2026-06-12,,2026-06-12,"Oil prices: WTI, Brent on hopes of U.S.-Iran deal despite Tehran pushback | What energy insiders in DC are saying about oil prices and a possible Iran deal | Has the US really carried out a secret mission to get oil through Hormuz? | Proposed Iran-U.S. deal would reopen Hormuz strait and lift oil sanctions, Iran state media says | How Iran-Aligned Houthis' Red Sea Shipping Threat Risks Bigger Oil Shock | Latest Oil Market News and Analysis for June 12 | The tanks in Cushing, Oklahoma, are hitting bottom. The oil market is about to hit a tipping point | CNBC Daily Open: Markets score big as Iran war nears final whistle and SpaceX takes the field",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260616,2026-06-16,,2026-06-16,"Goldman cuts oil forecast as Hormuz deal brings forward supply recovery | Oil prices fall; tanker bosses remain cautious on  Hormuz transit | US stock market climbs as US-Iran deal stirs hopes for end to energy chaos | Gold prices may rebound, Barclays says. Mining stocks to benefit | Strait of Hormuz transit will take 'weeks' to resume, largest tanker operator tells FT - AL-MONITOR: The Middle East&#x2BC;s leading independent news source since 2012 | Energy firms brace for 'new era' despite Hormuz deal | Iran deal won't solve oil supply issues overnight. Barclays keeps $100 forecast | How the Strait of Hormuz reopening could unfold if the U.S.-Iran deal is implemented",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260618,2026-06-18,,2026-06-18,"Oil falls as International Energy Agency forecasts supply glut next year after U.S.-Iran deal | Hormuz reopening to release wave of oil supply, depress prices | US-Iran deal takeaways: reopening the strait of Hormuz, waived oil sanctions and Lebanon | Oil prices fall, stocks rally as US, Iran sign framework to end war | Why the oil may start flowing through the Strait of Hormuz faster than many believe | Gas prices fall below $4 per gallon as oil supply fears ease after Iran deal | OPEC chief dismisses IEA supply glut forecast as 'critical' Strait of Hormuz reopens | Oil tankers pass Hormuz Strait after war deal: tracker",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260720,2026-07-20,,2026-07-20,"Sanctioned tanker is leaking oil near Oman, according to satellite images and experts | Iraq signs deals with Western oil firms, including to revive Syria pipeline | CNBC Daily Open: Spain takes the World Cup, oil takes the market spotlight | US launches ninth night of Iran strikes as strait of Hormuz standoff sees oil price pass $90 a barrel | US strikes Iran for ninth day; Iran says two oil tankers in Strait of Hormuz exploded and immobilised | Oil tops $90 as Iran warns Hormuz 'will not be safe' | As Houthis declare Red Sea blockade on Saudi Arabia, oil markets brace for impact | Prepare your portfolio for inflation risk with these moves",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260803,2026-08-03,,2026-08-03,"Oil prices: WTI, Brent: Trump says he called off planned strike on Iran | Turkiye and Iraq sign one-year oil pipeline deal amid global shift | Market scored on Iran war oil price boom. Staying long may not be wise | Oil prices plunge and Europe's stock markets rally after Trump calls off Iran strikes | Oil | U.S. Treasury yields fall as oil prices plunge on Iran de-escalation hopes | 'In Trump we trust': Why the oil market keeps believing him | First Thing: Trump promises new Iran talks as Tehran touts Hormuz shipping deal with Oman | US news | Oil falls 5% after Trump calls off Iran strikes, says Hormuz deal agreed",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260810,2026-08-10,,2026-08-10,"oil-prices-today-brent-wti-hormuz-trump-iran | Oil prices, stocks surge as Hormuz closure drags on | UAE says Iran targeted ADNOC tanker in Strait of Hormuz, no casualties | Yemen's Houthis claim responsibility for attack on Saudi oil refinery | Houthis | Oil prices climb as Iranian demands cloud outlook for Strait of Hormuz | Russia sanctions bill honoring Lindsey Graham breezes through Senate | UAE says ship targeted by missile amid heightened U.S.-Iran tensions | Pentagon pushes defense companies to boost weapons production",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260817,2026-08-17,,2026-08-17,"Shipping slows through Strait of Hormuz after tanker attacks, data shows | New UK cost of living crisis looms with soaring energy bills forecast to lift inflation | CNBC Daily Open: trump, iran, oil, hormuz, china, berkshire, anthropic | Strait of Hormuz shipping slows as U.S.-Iran ceasefire nears end | What SanDisk told investors this week is a boon for our newest stock | Iran rebuffs Trump's claim over Hormuz amid report of ship strike | SPR depletion raises questions about integrity of oil caverns | Suspected Russian drone shot down in Romanian airspace",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260831,2026-08-31,,2026-08-31,"Mapping Iran war's strikes on Gulf energy &#x2013; and what comes next for oil | US-Israel war on Iran News | Trump announces deal with Venezuela to secure more than 65 billion barrels of oil reserves | Iran trade falls as sanctions pressure economy | Turkey, Saudi Arabia, Pakistan to hold first defense pact meeting | Bessent faces G20 diplomacy test amid tariffs, Iran war, bond turmoil | Freedom Fuel stations sold gas a distributor says went unpaid for | U.S. strikes Iranian rocket launchers near Strait of Hormuz | U.S. to sanction another bank in Iran transaction clamp-down: Bessent",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification. Excluded to preserve an equal-sized P50 H/L sample.
N20260914,2026-09-14,,2026-09-14,"Saudis shut down oil pipeline as Houthis tighten grip on Red Sea shipping | New report of attack on Strait of Hormuz shipping fans fears of threats to oil supplies | Oil rises after Saudi Arabia shut down pipeline that bypasses  Hormuz | Satellite images show extent of damage to major Saudi pipeline, amid global oil supply fears | Saudi Arabia has shut a critical oil pipeline. Here's why it matters for the global oil market | Saudi oil pipeline shut down after attack triggers fires | Iran says will discuss Strait of Hormuz with Gulf states on Monday | Shipping News | Gulf oil threatened anew as Houthis reach key island and pipeline is shut down",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification.
N20260921,2026-09-21,,2026-09-21,"iran-us-oil-prices-crude-saudi-arabia- | How Saudi Arabia's pipeline closure affects Asia crude importers | Stock market next week: Outlook for Sept. 21-25, 2026 | The S&P 500 just logged another losing week. These stocks could be due for a bounce | Goldman Sachs blames 'lower happiness' for struggling consumer sentiment | Smoke, flames reported near Riyadh airport after alerts | U.S. urges citizens to rethink Middle East travel as Iran tensions rise | Fed's Kashkari reportedly says inflation is still too high",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,Approved for broad 0.50-threshold sensitivity specification. Excluded to preserve an equal-sized P50 H/L sample.
N20260525,2026-05-25,,2026-05-25,"Oil falls, Asian stocks climb on hopes of US-Iran Hormuz deal | Gold rises as dollar, oil ease on U.S.-Iran deal prospects | Marco Rubio visits India to sell energy as Iran oil shock persists | With oil markets nearing the danger zone, a US-Iran deal can't come soon enough | Heather Stewart | How one medical supply CEO is navigating the oil price shock | Asia markets today: ASX, Nikkei, Sensei, Iran, Trump, Oil | Oil market at 'tank bottoms' in Asia, Europe isn't far behind: Carlyle | Home Depot comps finally catch Lowe's, opening the door for the stock to do the same",mixed,news_panel,,yes,close_to_close,passed,0,approved_news_panel,All candidates approved under the 0.75 specification. Excluded: not a U.S. trading day. Excluded: not a U.S. trading day. Excluded: not a U.S. trading day.
